,January-15,February-15,March-15,April-15,May-15,June-15,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Electricity Company Counter,3354488.8,3030597.6,3241502.3,3034376.8,3883110.9,4065047.6,4434543.8,4690761,4053599.19,3903177.42,3539500,3510177.4,3445540,3196490.5,3292367,3226024.5,3822070.5,4260933,4607485,4448433.5,4065365.5,3251455,3405779,3430355,3626306.5,3208575,3505659.5,3239641.5,4018215,4441878.5,5007129,4875123.5,4176939,3590878.5,3439565.5,3426506,3557478,3129743,3373342.5,3206203.5,4065136.5,4303577.5,4764724.5,4601894,3797049.5,4058220.52,3458595.5,3486577,3549980.5,3145473.5,3457133.5,3048124.5,3857757.5,4516239,4896729,4605829.5,4310188.5,3661294.5,3501474,3677010,3733662.34,3402911.16,3044460.94,2470572.16,3344375.64,3691921.18,4328643.14,4456943.98,4287362.44,3753988.22,3243847,3194604.56
Building 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19442.02,19321.73,15904.75,11806.51,14543.88,15891.91,23492.34,19301.28,16487.18,14697.42,16170.48,20810.06,25952.96,24141.94,19194.46,13677.54,17702.63,18799.58,19552.23,17281.99,13251.5,15974.04,15058.3,19510.34,32322.67,20597.35,19120.75,12793.32,15889.49,19220.65,21234.02,15783.52,16713.58,13395.52,15324.38,18731.01,21346.58,18317.78,12132.83,7308.02,11366.84,13582.4,13594.38,13306.8,12334.07,10899.14,8913.22,10216.24
Building 15-16,76159.75,73075.27,74557.07,69575.98,77537.07,79975.29,78243.42,70314.84,64041.67,53654,70964.03,66072.11,78345,106225.18,79563.12,67148.2,74772.29,75372.79,73530.57,68010.61,65365.85,58248.78,71316.12,74938.32,79334.66,68668.28,69541.81,59597.69,70818.71,72572.08,73746.99,72094.32,66696.94,66406.45,72001.8,76639.44,82812.99,72721.28,74877.44,71604.08,81380.29,80127.66,80964.67,74981.75,69768.22,77318.18,76293.6,81918.65,80986.07,68354.88,79253.44,71262.98,78553.85,80835.15,78680.25,74845.36,74679.36,72665.16,75472.21,84106.24,84428.05,72613.89,56865.91,41954.4,56673.32,60357.77,56887.93,64589,68955,61578,63558,58956.93
Building 17,21957.92,18028.98,15149.43,11945.39,12618.82,14247.49,14256.78,12867.08,11489.58,12519.92,11864.02,15405.43,16967.56,15692.17,14008.2,11988.75,13516.96,13433.53,13329.65,11626.67,12350.81,11203.27,13734.67,18250.9,19525.31,17215.48,17108.65,13157.98,14934.39,13571.73,13220.69,12000,12789.88,9230.97,10647.12,11827.01,16272.08,13779.67,14547.47,11773.78,12022.9,10155.42,10657.5,10286.5,10189.44,10313.26,10743.95,13159.73,17116.72,13160.29,14924.58,12083.06,10763.36,9963.47,10674.28,9750.88,10825.56,9763.25,10313.2,14048.81,15075.77,12487.45,8015.5,4239.81,9064.81,9694.54,9478.95,9161.28,8544.02,8701.6,8534.39,9705.37
Building 18,21782.05,17671.29,17120.29,14665.17,19949.65,19481.16,17474.01,16441.46,15931.28,17923.87,19040.25,19952.29,22787.02,19078.92,19471.39,15607.42,18868.86,19269.22,18303.41,18131.3,18112.39,14324.72,19791.6,20858.45,22545.04,19120.67,20359.79,16608.06,21140.01,21411.49,21194.47,18133.69,18581.54,19131.07,21776.28,24448.23,27394.09,19517.38,19566.95,17290.93,21233.14,20877.07,19840.03,18410.72,16270.22,20049.09,23312.39,26734.16,34066.53,25909.36,19466.09,15055.7,17135.52,17391.83,18756.38,18569.44,16230.71,16298.52,16068,20430.97,29965.05,22239.8,12466.28,6382.53,13140.51,15736.39,15494.02,15187.64,14304.8,12376.8,13100.75,14605.35
Building 22,96120.52,90718.93,38409.86,39974.09,37609.14,31630.15,103385.36,100701.26,77789.97,104667.5,118398.6,121195.72,115248.7,106045.09,106700.1,95520.76,112520.59,118853.72,126107.6,96934.9,100968.68,75002.41,106690.02,102678.93,115803.62,110260.97,108950.07,91071.53,108813.69,116053.38,124244.12,96162.45,87552,80117.54,103031.95,103394.47,112677.18,98684.74,96289.44,82684.76,108212.62,113817.29,122601.23,93652.84,72327.85,113715.8,118752.54,109815.58,96588.84,86662.73,88725.18,74535.23,97250.64,100709.34,106762.79,77097.23,88570.44,93544,115000,97697.14,90948.81,82801.07,57805.84,24640.2,65340.03,72707.87,83257.36,86117.21,72422.59,72737.35,63616.19,69856.64
Building 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7132,9087,10442.3,12199.6,10791.79,9233.06,10895.26,11671.87,11297.88,12750.76,11783.57,13049.54,10713.8,12994.61,11388.92,13698.23,11570.39,8552.95,12435.14,12096.93,14146.67,14284.34,11909.18,12303.99,10568.74,12024.1,14670.56,14752.14,12468.55,11566.03,11800.86,12432.62,14084.1,15333.14,12984.22,9450.04,6097.06,9807.7,9987.9,10408.86,10623,9677.35,9007.57,9223.62,9104.62
Building 26,25037.24,30398.28,16105.61,14264.45,18378.34,18984.96,21162.31,19244,14404.12,15704.9,18124.23,18458.99,17640.43,16979.39,16153.74,14142.53,17044.32,24379,20540.99,18670.84,15636.02,17536,16936,33777.88,35903.07,29881.49,24269.14,23168.04,26194.56,27818.96,32848.97,27936.86,21964.93,24521.93,26529.32,30575.9,34966.64,26194.59,28184.6,24995.11,28743.6,29459.3,29123.72,29812.3,25990.46,30573.97,30543.41,34462.81,37323.34,31400.99,30622.81,23948.81,28444.66,26581,29383.33,27856.74,25817.91,25477.89,28014.99,31236.1,33786.55,32202.65,23891.9,19096.35,19951.06,26050.47,27051.44,25168.88,27280.89,25847.98,24384.14,24547.33
Building 28,24523.74,20384.14,16094.36,10610.29,16518.46,19006.24,21113.47,20141.01,18478,20808.32,20323.22,17738.21,19934,11980.32,17884.71,12155.53,15712.58,18416,17324.09,15832.73,15366,12141,21869.19,18811.74,19841.76,17229.32,16850.08,14349.28,14442.11,19860.84,22586.53,19742.74,14571.85,15066.19,20646.25,21140.8,21721.65,19376.7,20536.39,17924.84,20955.64,19897,17669.07,18906.12,10099.86,14090.29,20004.82,19580.52,19830.62,17332.84,18593.42,17016.74,15507.43,14721.8,27656.55,16064.41,16182.9,15106.5,17523.56,18811.9,19148.99,17025.87,14493.09,7171.07,9044.47,9314.28,11191.48,10672.46,9725.92,12000,7853.7,10779.21
Building 29,81857.8,72343.28,82954.01,79239.92,87664.92,86926.99,88240.18,87621.81,77839.87,78641.96,81971.47,80412.16,80142.88,72968.79,79437.33,72146.4,81012.26,83579,85272,79406.71,76701.6,75709,74337,90914.52,88955.17,83707.19,89444.48,78621.36,84048.67,89583.19,89042.97,89398.89,85671.16,82361.93,82549.76,88821.38,92328.19,80740.19,87017.36,81733.86,85976.75,83882.76,87119.34,85716.74,71933.1,88258.44,84680.44,87789.73,85861.55,78447.22,86993.88,77298.03,89654.63,87487.21,101537.37,79497.73,76146.17,73374.82,77281.7,83243.98,81750.27,75036.53,71500.56,61515.44,71541.62,80574.04,76480.19,74384.12,75057.86,73658.6,75892.72,78434.9
